hotel_id,hotel_name,city,province,area,latitude,longitude,hotel_type,price_range,rating,review_count,amenities,nearby_attractions,tags,description,other_details
H0001,Bara Grand Hotel,Bara,2,Churiya Mai Temple,27.678372,85.27615,Hostel,1500-8900 NPR,3.5,777,Free Parking; Bike Rental; Free WiFi; Conference Hall,Churiya Mai Temple,birdwatching; hindu; temple,"Bara Grand Hotel is a hostel in Churiya Mai Temple, Bara. Features include Free Parking, Bike Rental, Free WiFi, Conference Hall. Close to Churiya Mai Temple.","{""best_time"": ""Oct-Mar"", ""booking_note"": ""Contact hotel for seasonal packages."", ""recommended_for"": [""birdwatching"", ""hindu"", ""temple""], ""discounts"": ""Seasonal discount available during off-peak months."", ""offers"": ""Best to book at least 2 weeks in advance."", ""additional_booking_info"": ""Flexible cancellation up to 24 hours before check-in.""}"
H0002,Dang Palace,Dang,5,Charinge Daha- Ghorahi Dang,27.722158,85.315528,Budget Hotel,6500-13900 NPR,4.0,1283,Lake View; Swimming Pool; Airport Shuttle; Family Rooms,Charinge Daha- Ghorahi Dang,peaceful; temple; lake; scenery,"Dang Palace is a budget hotel in Charinge Daha- Ghorahi Dang, Dang. Features include Lake View, Swimming Pool, Airport Shuttle, Family Rooms. Close to Charinge Daha- Ghorahi Dang.","{""best_time"": ""Oct-Apr"", ""booking_note"": ""Contact hotel for seasonal packages."", ""recommended_for"": [""peaceful"", ""temple"", ""lake""], ""discounts"": ""Complimentary breakfast for bookings over 3 nights."", ""offers"": ""Best to book at least 2 weeks in advance."", ""additional_booking_info"": ""Flexible cancellation up to 24 hours before check-in.""}"
H0003,Parbat Hotel,Parbat,4,Central Parbat,27.702174,85.328387,Luxury Hotel,1400-6700 NPR,4.7,2972,Bar; Airport Shuttle; Breakfast Included; Free Parking; Mountain View; Tour Desk; Guide Services,Bhairavsthan Temple,hindu; temple; luxury,"Parbat Hotel is a luxury hotel in Central Parbat, Parbat. Features include Bar, Airport Shuttle, Breakfast Included, Free Parking. Close to Bhairavsthan Temple.","{""best_time"": ""Oct-Mar"", ""booking_note"": ""Contact hotel for seasonal packages."", ""recommended_for"": [""hindu"", ""temple"", ""luxury""], ""discounts"": ""20% discount for direct website bookings."", ""offers"": ""Best season to book: Spring and Autumn."", ""additional_booking_info"": ""Includes optional guided hiking tours.""}"
H0004,Gulmi Hotel,Gulmi,5,Central Gulmi,27.679759,85.291316,Homestay,6500-8200 NPR,4.4,1411,Free Parking; Restaurant; Hiking Tours; Family Rooms; Laundry; Wake-up Service; Lake View,Shree Rameshowr Mahadev Temple,religious; family-friendly; temple; hindu; lakeside,"Gulmi Hotel is a homestay in Central Gulmi, Gulmi. Features include Free Parking, Restaurant, Hiking Tours, Family Rooms. Close to Shree Rameshowr Mahadev Temple.","{""best_time"": ""All Year"", ""booking_note"": ""Contact hotel for seasonal packages."", ""recommended_for"": [""religious"", ""family-friendly"", ""temple""], ""discounts"": ""Group discounts available for 5+ guests."", ""offers"": ""Ideal to book during weekdays for better rates."", ""additional_booking_info"": ""Flexible cancellation up to 24 hours before check-in.""}"
H0005,Sunsari Inn,Sunsari,1,Mini mountain,27.724788,85.304031,Lodge,2500-11200 NPR,4.1,3768,Laundry; Spa; Free Parking; Conference Hall,Mini mountain,family tour spot; culture; river; mountain-view; eco-friendly; picnic; mountains,"Sunsari Inn is a lodge in Mini mountain, Sunsari. Features include Laundry, Spa, Free Parking, Conference Hall. Close to Mini mountain.","{""best_time"": ""Oct-Apr"", ""booking_note"": ""Contact hotel for seasonal packages."", ""recommended_for"": [""family tour spot"", ""culture"", ""river""], ""discounts"": ""Seasonal discount available during off-peak months."", ""offers"": ""Best to book at least 2 weeks in advance."", ""additional_booking_info"": ""Airport pickup can be arranged on request.""}"
H0006,Taplejung Lodge - 6,Taplejung,1,Central Taplejung,27.6783,85.299611,Resort,7900-10200 NPR,3.7,1320,Tour Desk; Airport Shuttle; Family Rooms; Room Service; Hiking Tours; Laundry,Simsuwa Waterfall,birdwatching; romantic; Trekking stop; village exploration; meditation; luxury,"Taplejung Lodge - 6 is a resort in Central Taplejung, Taplejung. Features include Tour Desk, Airport Shuttle, Family Rooms, Room Service. Close to Simsuwa Waterfall.","{""best_time"": ""Sept – Nov"", ""booking_note"": ""Contact hotel for seasonal packages."", ""recommended_for"": [""birdwatching"", ""romantic"", ""Trekking stop""], ""discounts"": ""Complimentary breakfast for bookings over 3 nights."", ""offers"": ""Advance booking recommended during festival seasons."", ""additional_booking_info"": ""Flexible cancellation up to 24 hours before check-in.""}"
H0007,Myagdi Inn - 7,Myagdi,4,Central Myagdi,27.697223,85.327229,Homestay,4900-8300 NPR,4.3,881,Wake-up Service; Bike Rental; Bar; Spa; Pet Friendly,Beni Bazaar,hills; river; birdwatching; landmarks; city,"Myagdi Inn - 7 is a homestay in Central Myagdi, Myagdi. Features include Wake-up Service, Bike Rental, Bar, Spa. Close to Beni Bazaar.","{""best_time"": ""Oct-Mar"", ""booking_note"": ""Contact hotel for seasonal packages."", ""recommended_for"": [""hills"", ""river"", ""birdwatching""], ""discounts"": ""Seasonal discount available during off-peak months."", ""offers"": ""Ideal to book during weekdays for better rates."", ""additional_booking_info"": ""Flexible cancellation up to 24 hours before check-in.""}"
H0008,Hotel Barahi Pokhara,Pokhara,4,Central Pokhara,28.186312,83.977379,Homestay,2800-4200 NPR,3.9,4657,Airport Shuttle; Bonfire; Wake-up Service,Poon Hill,Photography; local-experience; Sunrise trek; adventure; Scenic view; spiritual,"Hotel Barahi Pokhara is a homestay in Central Pokhara, Pokhara. Features include Airport Shuttle, Bonfire, Wake-up Service. Close to Poon Hill.","{""best_time"": ""October-April"", ""booking_note"": ""Contact hotel for seasonal packages."", ""recommended_for"": [""Photography"", ""local-experience"", ""Sunrise trek""], ""discounts"": ""Complimentary breakfast for bookings over 3 nights."", ""offers"": ""Best season to book: Spring and Autumn."", ""additional_booking_info"": ""Includes optional guided hiking tours.""}"
H0009,Lumbini Plaza - 9,Lumbini,5,Central Lumbini,27.674588,83.459308,Hostel,7000-10800 NPR,4.6,3278,Hiking Tours; Bike Rental; Wake-up Service; Swimming Pool; Free Parking,Maya Devi Sacred Garden Complex,Pilgrimage; Meditation; budget; Photography,"Lumbini Plaza - 9 is a hostel in Central Lumbini, Lumbini. Features include Hiking Tours, Bike Rental, Wake-up Service, Swimming Pool. Close to Maya Devi Sacred Garden Complex.","{""best_time"": ""Oct–Apr"", ""booking_note"": ""Contact hotel for seasonal packages."", ""recommended_for"": [""Pilgrimage"", ""Meditation"", ""budget""], ""discounts"": ""Group discounts available for 5+ guests."", ""offers"": ""Ideal to book during weekdays for better rates."", ""additional_booking_info"": ""Includes optional guided hiking tours.""}"
H0010,Parbat Grand Hotel,Parbat,4,Mahashila,27.683213,85.27426,Resort,2700-4300 NPR,4.9,2716,Bike Rental; Free Parking; Laundry,Mahashila,near-temple; birdwatching; scenery; hindu; Hills; spiritual,"Parbat Grand Hotel is a resort in Mahashila, Parbat. Features include Bike Rental, Free Parking, Laundry. Close to Mahashila.","{""best_time"": ""Oct-Mar"", ""booking_note"": ""Contact hotel for seasonal packages."", ""recommended_for"": [""near-temple"", ""birdwatching"", ""scenery""], ""discounts"": ""Book 2 nights and get the 3rd free!"", ""offers"": ""Winter offers the best value deals."", ""additional_booking_info"": ""Includes optional guided hiking tours.""}"
