activity_id,activity_name,destination,type,duration,price_npr,season,tags,description
A0001,Cooking Class - Machhermo,Machhermo,Relaxation,5 hrs,9100,Summer,culture; relaxation; wildlife; offbeat,"A thrilling cooking class in Machhermo, ideal for families."
A0002,Bird Watching - Chukhung,Chukhung,Wildlife,5 hrs,3600,Autumn,photography; local-experience; offbeat; wildlife,"A immersive bird watching in Chukhung, ideal for solo travelers."
A0003,Jungle Safari - Pilot Baba Ashram,Pilot Baba Ashram,Boat Ride,3 hrs,9600,All Year,adventure; wildlife; offbeat,"A thrilling jungle safari in Pilot Baba Ashram, ideal for families."
A0004,Paragliding - Singhabahini temple,Singhabahini temple,Photo Tour,1 hrs,11900,Summer,offbeat; heritage,"A immersive paragliding in Singhabahini temple, ideal for adventure seekers."
A0005,Hiking - Latarambeshwor,Latarambeshwor,Boat Ride,6 hrs,14600,Spring,offbeat; wildlife; culture,"A thrilling hiking in Latarambeshwor, ideal for couples."
A0006,Rafting - Kongde ri,Kongde ri,Photo Tour,6 hrs,12900,Summer,trekking; wildlife,"A immersive rafting in Kongde ri, ideal for adventure seekers."
A0007,Cultural Tour - Thamel,Thamel,Boat Ride,6 hrs,9400,Winter,heritage; adventure; culture,"A thrilling cultural tour in Thamel, ideal for adventure seekers."
A0008,Cycling - Jaljala,Jaljala,Workshop,8 hrs,5300,Winter,offbeat; wildlife; culture,"A thrilling cycling in Jaljala, ideal for adventure seekers."
A0009,Rafting - Mahamanjushree Temple,Mahamanjushree Temple,Photo Tour,1 hrs,8700,All Year,food; offbeat; trekking,"A relaxing rafting in Mahamanjushree Temple, ideal for solo travelers."
A0010,Temple Visit - Khangchendzonga national park,Khangchendzonga national park,Sightseeing,1 hrs,9700,Autumn,offbeat; food; local-experience; relaxation,"A relaxing temple visit in Khangchendzonga national park, ideal for solo travelers."
A0011,Rafting - Daman ,Daman ,Cultural,1 hrs,13400,Spring,offbeat; heritage; photography; relaxation,"A guided rafting in Daman , ideal for solo travelers."
A0012,Temple Visit - Jamunkhadi Wetland,Jamunkhadi Wetland,Cultural,1 hrs,3700,All Year,photography; heritage; adventure,"A relaxing temple visit in Jamunkhadi Wetland, ideal for solo travelers."
A0013,Rafting - Narayani River Canoeing,Narayani River Canoeing,Photo Tour,8 hrs,1000,Autumn,wildlife; heritage; relaxation; trekking,"A guided rafting in Narayani River Canoeing, ideal for solo travelers."
A0014,Rafting - Tehrathum,Tehrathum,Photo Tour,3 hrs,8600,All Year,relaxation; food; photography; adventure,"A thrilling rafting in Tehrathum, ideal for couples."
A0015,Cooking Class - Gandaki,Gandaki,Sightseeing,1 hrs,10400,All Year,adventure; local-experience,"A thrilling cooking class in Gandaki, ideal for adventure seekers."
A0016,Hiking - Surma Sarovar Lake,Surma Sarovar Lake,Festival Tour,4 hrs,11000,Winter,food; offbeat; local-experience; trekking,"A relaxing hiking in Surma Sarovar Lake, ideal for solo travelers."
A0017,Cultural Tour - Darchula,Darchula,Wildlife,2 hrs,10800,Winter,wildlife; relaxation; offbeat,"A thrilling cultural tour in Darchula, ideal for families."
A0018,Paragliding - Baudhanath stupa,Baudhanath stupa,Workshop,2 hrs,13400,Summer,culture; wildlife,"A guided paragliding in Baudhanath stupa, ideal for couples."
A0019,Cultural Tour - Hanumandhoka palace,Hanumandhoka palace,Wildlife,4 hrs,14000,Summer,heritage; food; photography; culture,"A guided cultural tour in Hanumandhoka palace, ideal for families."
A0020,Cycling - Rani pokhari,Rani pokhari,Adventure,8 hrs,7000,All Year,food; local-experience; photography,"A thrilling cycling in Rani pokhari, ideal for couples."
A0021,"Jungle Safari - mugu (village, cycling, etc.)","mugu (village, cycling, etc.)",Boat Ride,5 hrs,13300,Spring,local-experience; relaxation,"A thrilling jungle safari in mugu (village, cycling, etc.), ideal for families."
A0022,Cycling - Palpa,Palpa,Adventure,6 hrs,2900,All Year,relaxation; adventure; photography; offbeat,"A guided cycling in Palpa, ideal for couples."
A0023,Cycling - IIlam,IIlam,Adventure,5 hrs,9400,Summer,relaxation; offbeat; wildlife,"A immersive cycling in IIlam, ideal for adventure seekers."
A0024,Rafting - Tikapur Park & Karnali Riverside,Tikapur Park & Karnali Riverside,Relaxation,4 hrs,5300,All Year,relaxation; adventure,"A guided rafting in Tikapur Park & Karnali Riverside, ideal for families."
A0025,Bird Watching -  Vata Mandir, Vata Mandir,Relaxation,1 hrs,8100,Winter,offbeat; relaxation,"A immersive bird watching in Vata Mandir, ideal for families."
A0026,Zipline - Argeli Palace,Argeli Palace,Boat Ride,2 hrs,4800,Summer,wildlife; relaxation; trekking,"A relaxing zipline in Argeli Palace, ideal for families."
A0027,Jungle Safari - Baraha Chhetra,Baraha Chhetra,Wildlife,2 hrs,4900,Summer,food; trekking; heritage,"A relaxing jungle safari in Baraha Chhetra, ideal for adventure seekers."
A0028,Rafting - The Royal Botanical Gardens,The Royal Botanical Gardens,Boat Ride,3 hrs,3900,Spring,heritage; food,"A immersive rafting in The Royal Botanical Gardens, ideal for couples."
A0029,Hiking - Vhairabsthan Temple,Vhairabsthan Temple,Adventure,4 hrs,10900,Summer,wildlife; local-experience; food,"A immersive hiking in Vhairabsthan Temple, ideal for couples."
A0030,Rafting - Chandikalika Temple,Chandikalika Temple,Workshop,3 hrs,14500,Spring,local-experience; photography,"A immersive rafting in Chandikalika Temple, ideal for adventure seekers."
A0031,Cooking Class - Dolakha Bhimsen temple,Dolakha Bhimsen temple,Trekking,8 hrs,3500,Winter,offbeat; food; heritage; local-experience,"A relaxing cooking class in Dolakha Bhimsen temple, ideal for adventure seekers."
