Destination,culture,adventure,wildlife,sightseeing,history,tags,province,Location,Category,Best_Time,Duration,
Satasidham,5,0,0,5,3,"waterfall, pond, garden, cave , hindu , temple",1,Jhapa,Off-Beat,Oct-Apr,Half-day,
Arjundhara Dham,5,0,0,3,5,"hindu, temple, pond, gurukul, farm ",1,Jhapa,Popular,Oct-Apr,2-3 hrs,
Kichakavadh,4,0,0,5,5,"hindu, pond, garden, temple, castle remnants",1,Jhapa,Off-Beat,Oct-Apr,Half-day,
Biratpokhar,2,0,0,5,5,"hindu, pond, garden",1,Jhapa,Off-Beat,Oct-Apr,2-3 hrs,
Krishnathumki,5,2,0,5,5,"hindu , pond, garden, temple , boat ride ",1,Jhapa,Off-Beat,Oct-Apr,Half-day,
Jamunkhadi Wetland,0,2,5,5,0,"wetland, pond, picnic, boat ride, wildlife",1,Jhapa,Off-Beat,Nov-Feb,1 day,
Hiledhap Wetland,0,0,5,5,0,"wetland, pond, wildlife",1,Jhapa,Off-Beat,Nov-Feb,1 day,
Mai Khola (Kankai river),5,2,2,3,3,"river, hindu, temple",1,Jhapa,Off-Beat,Oct-Apr,Half-day,
Haluwagadh Kalikhola Simsaar,0,4,4,5,0,"pond, mountain bike ride , wetland, wildlife",1,Jhapa,Off-Beat,Nov-Feb,1 day,
Domukha Shivasatakshi,0,2,2,5,0,"picnic , river",1,Jhapa,Off-Beat,Oct-Apr,2-3 hrs,
Dhanpal fort ,5,0,0,5,5,"fort, temple, hindu, hiking",1,Jhapa,Off-Beat,Oct-Apr,Half-day,
Koshi Barrage,0,0,0,3,5,landmarks,1,Sunsari,Popular,Oct – Mar,3–4 hrs,
"jhandi dada, Illam",0,5,2,5,0,"Sighting, hiking, landmarks.hills",1,Illam,Off-Beat,Oct-Apr,Half-day,
"Indrenital, Damak",0,2,0,5,0,"hiking, lake, landmarks",1,Jhapa,Off-Beat,Oct-Apr,Half-day,
"Radha krishna mandir, Itahari",5,0,0,4,3,"hindu, temple",1,Sunsari,Popular,Oct-Apr,2-3 hrs,
Chuli pokhari,0,4,0,4,0,"pond, hiking, landmarks,hills",1,Sunsari,Off-Beat,Oct-Apr,Half-day,
Namje village,3,4,0,5,0,"hiking,hills,landmarks,mountains",1,Taplejung,Off-Beat,Oct-Apr,1 day,
Baraha Chhetra,5,2,2,3,4,"hindu, temple, hills,river",1,Sunsari,Off-Beat,Oct–Apr,1 day,
Betana wetland,0,2,5,5,0,"zoo, wetland,pond,wildlife",1,Morang,Off-Beat,Nov-Feb,1 day,
"Kechana, jhapa",0,0,0,3,3,landmarks,1,Jhapa,Off-Beat,Oct-Apr,2-3 hrs,
"Kanyam, Illam",0,2,0,5,3,"garden, hills, hiking, landmarks",1,Illam,Popular,Oct-Apr,Half-day,
Sandakphu,2,4,0,5,0,"mountains, hills, hiking",1,Illam,Off-Beat,Oct-Apr,1-2 days,
Jorsale,4,5,0,5,0,"trekking, hills",1,Solukhumbu,Off-Beat,Oct-Apr,1 day,
Raja rani,3,3,0,5,0,"lake, trekking",1,Dhankuta,Off-Beat,Oct-Apr,Half-day,
